text,annotation_7,annotation_8,annotation_9,annotation_78,annotation_62
"""Britain, where some two-thirds of the population have received at least one dose of the Pfizer-BioNTech or AstraZeneca vaccine and just under half have received two doses, is nonetheless grappling with a sharp rise in infections from the variant.""

It's not complicated. Countries that talked of the pandemic being ""over"" had to face facts. It may never be over, just controlled. That means everybody, vaccinated or not, has to make decisions based on epidemiological facts. Like continuing to wear masks indoors in public spaces social distancing and  normal hand washing. And getting ""the shots.""

People who consider it an outrage that medical science is trying to save their lives with reasonable rules are living in a weird fantasy land. If they have a heart attack would they click on a oonspiracy site for help?  If they're going into heart surgery, would they rejoice if the surgeon said ""hey bro, I'm with you!  I haven't bothered to scrub up, and nobody's going to tell me to put on a mask when I'm operating. High five!""",pro-mitigation,,pro-mitigation,pro-mitigation,pro-mitigation
"Once again US politics is clouding sound reason and public health safety . LA County Public health is looking at the numbers while NYC is too worried about optics and the mayor's race.   
  As of June 28th only 47% of the US or 153,776,118 people have been fully vaccinated, of which  55% of the population has received only 1 dose.
  The DELTA variant is more resistant to vaccines and spreads more rapidly 60% more transmittable than the ALPHA variant as it  mutates successfully.
  The partially vaccinated  25 million people risk getting of infection is 66% meaning about 17 million people partially vaccinated are going to be infected. 
   Now comes the very serious point for the NON vaccinated (about 1/2 of our country) if and when they will get this highly contagious variant 148 million people will be infected with DELTA COVID or another even worse variant as it evolves because it is. 
   So now 17 million plus 148 million or roughly 165 million will be severely vulnerable to this more infectious variant. 
 
    Now to the protection of vaccinated. We are not or will ever be immortal because of the RNA vaccines small study vaccine lasting defense. Pfizer and Moderna offer us protection at 88%(or less) leaving at least the 12% or 18 million more of the US population who are going to get ill.  
So with rough estimates --basically 183 million people are at risk here.
 I am vaccinated and I  am still going to wear a mask indoors.
The virus could be devolving but it is not.",pro-mitigation,,pro-mitigation,pro-mitigation,pro-mitigation
"Pre-pandemic I sat about six feet from a known anti-vaxxer in an open office with questionable ventilation. Even though I am vaccinated, I am not at all comfortable returning to this situation for eight hours a day when I have young children at home who can not yet get the vaccine. Yes, it is rare to transmit once vaccinated, but it can happen, especially with unknown new variants. 

As of now my employer is encouraging but not requiring the vaccine, which of course is their prerogative, but I hope they and other companies have plans to deal with situations like mine.",pro-mitigation,,pro-mitigation,pro-mitigation,pro-mitigation
"A company can refuse service to a gay couple based on religious beliefs, you should also be able to exempt unvaccinated people from your workplace. Just like not allowing smoking, nobody has the right to place another persons health in danger.",pro-mitigation,,pro-mitigation,unclear,pro-mitigation
So many comments here saying the CDC should not have changed their masking guidance. What happened to trusting the experts?,unclear,,unclear,unclear,anti-mitigation
"We never ate out more than a couple of times a year, when we had our two young children.  However, it never bothered me, as I liked to cook, and grew a lot of our own vegetables, and put them up for winter.  My husband had come from a family who ate a high fat, salt, sugar diet, and his father died of heart disease at the age of 40, so I wanted my two children to have a better outcome, and they have.  Everyone that eats out consumes more calories than they otherwise would if they ate at home.  However, the experts in this disease have said that we are 5 times more likely to get the virus from a family member, as each member has their own work, or school social circle, and their own friends social circle.  That is where all the cases are coming from.  A son who was an actively working doctor in South Florida, passed on the virus to his father, a retired physician, and both of them died.  In other words, the virus is so contagious, and often deadly to many healthcare personnel, who are subjected to a high virus count, day in, and day out.  Every contact with more than 2, presents more its own dangers.  Most nursing home residents who died were given the virus by those who worked in those institutions.  These people probably had spent considerable time with friends, either in bars, or at private homes.  The country is very selfish in how it is approaching this virus.  Not a lot of those, except in the older generation who realize the severity of the virus, and act accordingly.",pro-mitigation,,anti-mitigation,pro-mitigation,pro-mitigation
"Shame on the owners for not enforcing masks and distancing.  They do not care about customers or their employees they only care about money.  Sensible people are not participating.   Lesson to employees is get an education, learn a skill so you have more options in life than being a cashier or waiter.",pro-mitigation,,anti-mitigation,pro-mitigation,pro-mitigation
"Some restaurant patrons talk up a storm with each other or on their phones for extended periods of time. While some patrons may enjoy the scene, others may wish to stay away from the resulting aerosols. Thus, restaurant owners and health authorities should consider reserving certain sections of restaurants as “quiet zones,” especially during the busy dinning hours, thus reducing the amount of aerosols restaurant patrons would otherwise unwillingly inhale.",pro-mitigation,,pro-mitigation,unclear,unclear
"To all those who are not getting the shot because of political reasons, this is what Trump said on March 31.

""A lot of people have said, 'Ride it out. Don't do anything, just ride it out and think of it as the flu.' But it's not the flu. It's vicious,"" Trump declared at a White House Coronavirus Task Force Briefing. ""This is not the flu,"" added Trump, definitively. 

 <a href=""https://www.forbes.com/sites/tommybeer/2020/09/10/all-the-times-trump-compared-covid-19-to-the-flu-even-after-he-knew-covid-19-was-far-more-deadly/?sh=41df4de1f9d2"" target=""_blank"">https://www.forbes.com/sites/tommybeer/2020/09/10/all-the-times-trump-compared-covid-19-to-the-flu-even-after-he-knew-covid-19-was-far-more-deadly/?sh=41df4de1f9d2</a>

Get the shot.",pro-mitigation,,pro-mitigation,pro-mitigation,pro-mitigation
"Death is one thing. 
Most people aren't bothered by it from Covid because they sense it's rare and will only happen to someone else.

On the other hand, there is the recovery and long-term afflictions that thousands will suffer through over weeks, months and maybe the rest of their lives.

The media is giving us numbers. Please do more to show us how awful Covid-19 is for many people, even though it is only killing a small percentage of us.

If people knew how bad Covid can be for anyone, then they'd stop playing Russian roulette and wear a mask.",pro-mitigation,,pro-mitigation,pro-mitigation,pro-mitigation
"“Officials at the C.D.C. disagree, saying the risk is minimal“
I found your article quite useful, but feel the word “disagree” is unhelpful in describing differing positions between WHO and CDC. The majority of vaccinated Americans received excellent vaccines supported by outstanding science and regulatory review. The WHO must make recommendations to a more heterogeneous world of sometimes more poorly characterized and/or regulated vaccines with variably worse performance. Thus, while their recommendations may differ, that does not mean that they disagree.",pro-mitigation,,pro-mitigation,unclear,unclear
"This  whole article is based on the false assumption that companies have the authority to require their employees to take the Covid vaccine, because ""legally in the United States, employers can mandate vaccines. And this is because the vaccines that those laws are referring to are vaccines that are FDA approved to be safe.  The vaccines for Covid, however have not been found to be safe by the FDA, its use has been allowed only through an emergency use authorization. 

The FDA explains the reason for its emergency use authorization because 1. Covid 19 ""can cause a serious or life-threatening disease or condition"", and 2. ""the known and potential benefits of the Pfizer vaccine when used to prevent Covid outweigh its known and potential risks"".

So not only was it not approved to be safe, its use was allowed only because the benefit of being protected from ""a serious or life-threatening disease"" ""outweigh the known and potential risks"" of the vaccine.

As such a young and healthy person for whom Covid does not pose a serious risk of a ""life-threatening disease"" is fully within his rights to claim that not only has the FDA never approved the vaccine to be safe, but that since Covid does not pose a significant risk of ""a serious or life-threatening disease"" to him, therefore his taking the vaccine does not necessarily outweigh ""the known and potential risks"" of the vaccine. And so the emergency use authorization is not applicable to people like him.",anti-mitigation,,anti-mitigation,unclear,anti-mitigation
"The idea that there's a difference between what we require for one side of public good vs. another is flawed. Isn't this why we have the Secretary of the Department of Health and Human Services to begin with? 

Their main charter is to prevent transmission and spread of communicable diseases in the US. That includes control over interstate movement of people. 

So let the federal agency do what it's supposed to do and stop people from transmitting this disease. If that means coopting companies into putting pressure on employees, so be it. We're humans first, employees/companies a distant second at best.",pro-mitigation,,pro-mitigation,pro-mitigation,pro-mitigation
"To read about Mr. Torres, the Yankee shortstop getting Covid again for the second time now and the first time since being fully vaccinated makes me very nervous. Bill Maher, who is also fully vaccinated, only tested because all the people on his show are tested once a week. I fear that many who may be fully vaccinated and have Covid but are Asymptomatic, meaning mostly symptom free, are not being tested because they are vaccinated and mostly symptom free so the actual reported number of those getting Covid after vaccination is higher than will be reported. My twin brother had Covid last June and again this March after coming back from his third trip to Florida. So many people who are educated and smart did not believe you could get Covid twice. If the antibodies you develop after having Covid were fully protective and protective long term, you would not need a Vaccine. Look at Torres of the Yankees. Had Covid once and got Covid a second time after being fully vaccinated. There is more here than we really know even with the best in this field of Medicine like Dr. Fauci. Lets just be kinder to each other and not focus on anyone who decides to wear a mask. Working in Flushing Queens for many years, I would see Asian people wearing masks all the time and thought it so odd to see pre Covid but they wore masks, considerately, when sick so as not affect other people with their own germs. Give peace a chance and lets all concentrate on the real issues here in America, equity for all.",unclear,,pro-mitigation,unclear,unclear
"We all need to wear masks right now. And hide under our beds, forever. And have DoorDash workers do all the work for us. And all pretend to work remotely. And have Uncle Sam mail us checks. And have a rent moratorium forever. And change the name of our country to USSR as fast as possible.",anti-mitigation,,unclear,anti-mitigation,anti-mitigation
"This is a public health issue. We would not issue a driver's license to someone who hasn't passed a driver's test We would not allow a patient with small pox walk around NYC.. If someone refuses a vaccination, fine, don't get it but employers should protect their employees and the population at large. They can stay home and file for unemployment. Good luck with that. We need to get to something near herd immunity sooner than later. Lives and our enjoyment of life demand it. If it results in litigation (what doesn't?) so be it. I am a medical doctor and this is the biggest no brainer I can recall: Vaccinations save lives. Period. Aren't we supposed to be following the science?",pro-mitigation,,pro-mitigation,pro-mitigation,pro-mitigation
"Democracy: ""...all the freedom possible w/ all controls necessary....""
What's unwritten in that statement is ""all freedom possible TO PROMOTE LIFE w/ all controls necessary TO PROTECT INNOCENT LIFE.""

    As the U.S. drifts further into moral decline, especially among more vociferous political leadership, the lives of others take less value. Historically, of course that has been evident as white males dominated/controlled all aspects of life, therefore women, children and persons of color suffered both conscious and subconscious prejudicial 'rules' and social mores.
    What difference do we supposed would it make regarding mandating Covid vaccines if the virus targeted white males more than any other demographic? I'd bet lots that mandatory vaccination for ALL would have been law months ago; little debate. 
  One's life and the lives of their loved ones is the universal dual LIFE value against which all sub-values are judged/formed. Problem is, that dual life value is not ""self evident"" to the degree that amoral or immoral leadership realizes or empathizes or cares with regard to  OTHER human beings, especially outside their group
(H. sapiens: technologically genius, but socially in tribal dark ages).",pro-mitigation,,unclear,unclear,unclear
"Learn to cook.   I'm a guy and my mother taught me when I was 10, so this ain't rocket science (I was preparing my lunch when the first reports of JFK's assassination started being broadcast).   Let's ignore for the moment it's a very creative process, cooking provides structure and planning to one's existence.   It's ultimately cheaper to cook for oneself (pasta meals with home made egg pasta start for about a buck a serving).   Also, with a little  effort you are in control of your calorie intake.  

Today you don't even have to buy cook books--it seems as if anyone who's so much as baked a loaf of bread has captured it on YouTube.   Name a dish prepared anywhere in the world, I don't care if it's prepared with pig's ears in only in one district in Datong Shanxi, you'll find its prep on YouTube.  

If you can't cook for yourself your basic necessity, and everyone you live with, is dependent upon others.  Think of it as freedom.",unclear,,unclear,unclear,unclear
"You need to have proof of vaccinations to attend public schools.  Why would any company risk spreading Covid-19 around their work place when we have effective vaccines to eliminate the risk?  It's a no brainer.  Except in a few exceptional cases, there is no good excuse to not get the vaccine.",pro-mitigation,,pro-mitigation,pro-mitigation,pro-mitigation
NYC's re-opening is reckless and dangerous especially with the push for tourists to come back and with vaccines lagging. Our country once again has had advance notice and is ignoring what is happening in the likes of Great Britain and others who are being careful and shutting down as needed.   Sadly the U.S. values money and power over the lives of its citizens.,pro-mitigation,,anti-mitigation,pro-mitigation,pro-mitigation
"My primary and often-only source of information through this pandemic has been the New York Times. 

By the very data you presented, all but 2360 of the 133,243 cases in Louisiana since March have been in nursing homes or prisons. 

With this data, you presented a story suggesting that bars and restaurants are dangerous places for outbreaks (“outbreaks” being defined as “2 or more cases among unrelated individuals that have visited a site within a 14-day period”.)

This means:
•1.8% of all cases in Louisiana are not in a nursing home or prison.
•Less than 0.45% of all cases in Louisiana occur in places like restaurants and bars. 

None of this addresses the misleading definition/presentation of “outbreak”. Correct me if I’m wrong, but the definition of an outbreak in this case is literally “as few as 2 people who don’t know each other who contracted the coronavirus who went to the same restaurant or bar within 14 days of each other.”

I’m sure I’m missing something here, but at the very least something isn’t right...and I find it incredibly disappointing and irresponsible that that something is coming from The New York Times.",pro-mitigation,,unclear,unclear,unclear
"Once I read about the ABI (Acquired Brain Injury) symptoms of those with so called ""mild cases"" when the C.D.C.'s advisements only are about severe cases leading to hospitalization and deaths, I bought more masks which are more abundant and lower priced than before. I also felt betrayed as a health vulnerable older adult that government officials did not keep masking by all mandates at public essential services places like grocery stores. If anyone talks about their masking up or not with me I just say ""that's so  Republican"" miserable inside that Americans couldn't unite and rally around  wearing a piece of cloth to protect themselves, if not others, against a long term disabling disease.and don't care especially about their unvaccinated children under 12 to continue to do so.",pro-mitigation,,anti-mitigation,pro-mitigation,pro-mitigation
Don't we required vaccines for school? what is the big deal?.,pro-mitigation,,pro-mitigation,pro-mitigation,unclear
"One angle that, I believe hasn't been used a lot, is the fact that people that don't get vaccinated are very selfish; they're enjoying the perks of reduced transmissions and deaths, enjoying the opening up, but not helping doing their part.
My friend did that, he posted how happy he is to go back to Broadway shows, then I remarked that it was due to people getting vaccinated that we're opening up in NYC.
I, for one, refuse to let people in my house who are not vaccinated. All future parties, will require vaccinations.",pro-mitigation,,anti-mitigation,pro-mitigation,pro-mitigation
"The vaccines are great, but they can't provide 100 percent effectiveness against Covid -- and our immunocompromised friends and family members remain at serious risk of illness even when vaccinated.

So no thanks to companies that are wishy-washy on vaccination requirements.

I personally want to only be treated at medical facilities where vaccination is a requirement of employees. And I will only support businesses that require all employees and guests to be vaccinated, including airlines, hotels, restaurants and entertainment venues.",pro-mitigation,,pro-mitigation,pro-mitigation,pro-mitigation
"How about this, health insurance, life insurance and other rate increases for those who do not have a vaccine.",pro-mitigation,,anti-mitigation,pro-mitigation,pro-mitigation
"Our family and my friends order take-put but none of us have eaten at a restaurant - indoors or outdoors - for the last 5 months. Most of my friends are in healthcare or science professions: no one is willing to risk infection/ hospitalization/ chronic health problems/ or death for a meal out.

All I need to do is visualize dying because I ate out and that stops me entirely in my tracks. Is this the hill American are literally willing to die on?",pro-mitigation,,pro-mitigation,pro-mitigation,pro-mitigation
It’s time for Biden to impose a mandate for vaccination. The vaccine hesitancy and not wearing masks because of “freedom” and all that nonsense is cute. But it’s time to get real people. Pay your taxes and get your vaccine shot. It’s the law.,pro-mitigation,,pro-mitigation,pro-mitigation,pro-mitigation
"I surely and sorely miss eating out at a restaurant. But having been on a ventilator several times in my life, I will not risk that having that experience again. So, I've learned to cook at home and am getting pretty good at it. I look forward to a vaccine,  being able to be out and about in a year, and enjoying a meal in my local dining establishments with family and friends.",pro-mitigation,,pro-mitigation,pro-mitigation,pro-mitigation
"We will reach a point when vaccinated people will no longer need masks.  I work at a cancer center.  Flu vaccines are not required to protect the patients.  If you don’t get one, you must wear a mask for the entire flu season.  It’s a powerful incentive.",pro-mitigation,,pro-mitigation,pro-mitigation,pro-mitigation
"Can the NYT confirm whether the delta variant is more deadly? 

There’s “news” making rounds, largely in conservative circles (ron paul tweeted about it) that a UK study showed the delta variant is far less deadly though more transmissible. 

The reports are based on a June 18 report published by Public Health England, and titled “SARS-CoV-2 variants of concern and variants under investigation in England
Technical briefing 16”.  The data is on table 2. Not sure what to make of this and hoping the NYT can help.",unclear,,unclear,unclear,unclear
"Can the naysayers be held legally/financially accountable? For false and misleading information? And by the federal government? For damages?

Or by the vaccine manufacturing companies? For product libel? Reputation damage? Financial damage?

Like Dominion or SmartMatic?

Maybe somebody should consider this.",pro-mitigation,,unclear,unclear,unclear
I'd like to be able to dine in a restaurant where I know all employees and customers are vaccinated.,pro-mitigation,,pro-mitigation,pro-mitigation,pro-mitigation
"The Greatest Generation went years without new tires or appliances, rationing meat, sugar and dairy.

The Lamest Generation can't make it 3 weeks without margaritas at the beach.",pro-mitigation,,anti-mitigation,unclear,pro-mitigation
"It's just so disheartening to see this debate even considered to be somehow valid within the scope of civil rights.

My employer is going to put me in a position in which required vaccines forces me into a choice that could threaten my life, and could do so EVERY YEAR with new variants, boosters, etc. I have known allergies to substances found in the vaccine, and there are plenty of cases in which a person with allergies to things like shellfish are at risk for severe allergic reaction. We're talking anaphylaxes shock, and no you do not always recover from this simply by using an epi-pen.

So yes, I'm now going to lose my job over Big Pharma managing to lobby for full FDA approval, even though phase 3 trials for the vaccine are not set to end until 2013, and because even though if I get COVID-19 i'm more than 99% likely to recover from the illness. I am NOT as likely to avoid adverse reactions to the vaccine. 

I cannot bet my life to save my job, and I'm not alone. There will be job loss, injury, poverty, and more in the future because Big Pharma partnered with the government to force a vaccine onto the public, took away my civil rights, ignored the human right of caring for your own individual health, and basically took a step in the direction of a totalitarian government, aka Big Brother.",anti-mitigation,,anti-mitigation,anti-mitigation,unclear
"Workplaces are social places and a condition of employment should be: ""you can't infect me."" 
The costs of regularly testing -which some people would also object to- far outweigh vaccination.
SARS-CoV-2 is not your garden variety of respiratory virus. It should be considered a substance Immediately Dangerous to Life and Health. It has no place in a workplace.
""You have no right to infect me or anyone else."" Make it a condition of employment. If the person who is already employed objects, then find them a job where they have no social contact with anyone else. Harsh? Sure, But ""You have no right to infect me or anyone else.""",pro-mitigation,,pro-mitigation,pro-mitigation,pro-mitigation
"Virus spreaders have no rights.  I will have nothing to do with people who are not vaccinated.  Businesses have every right to require vaccinations, both for employees and customers on their premises.  If spreaders choose to not get vaccinated, that is their choice and they can stay home.",unclear,,pro-mitigation,pro-mitigation,pro-mitigation
"Here in the UK we have the “eat out to help out” scheme, where the government will subsidise 50% of all diners bills (by 50% up to £20 on Monday to Wednesday), in an attempt to get people eating out it restaurants and cafes again. I believe it is going well, but our “R” rate is going up again a bit! Certainly it is less worrying than “liberating” states!",pro-mitigation,,pro-mitigation,unclear,unclear
"I absolutely don't see how it's a ""delicate balance."" People need to not endanger their coworkers or the public (if they work with the public). Require vaccination and let people bring notes from their doctor if they have an allergy or something.",pro-mitigation,,pro-mitigation,pro-mitigation,pro-mitigation
"I'm all for herd immunity, which is why I got vaccinated. In fact, any sensible person should know that ""back to normal"" really requires GLOBAL herd immunity. Based on the slow vaccine rollout in many countries, I understand the concern voiced by the WHO. That said, the notion that vaccinated people should mask up to protect anti-vaxxers is preposterous--placating senseless rebellion will not get us an inch closer to herd immunity.",pro-mitigation,,pro-mitigation,pro-mitigation,pro-mitigation
"My best friend, a cancer survivor, after months indoors, met family for dinner.  The restaurant followed all the guidelines.  She was exposed, an employee tested positive.  Thankfully, she nor any family members contracted it.

Almost once weekly an exposure potential is on my local news.  Always an employee at a restaurant testing positive.   

My favorite local restaurant, sadly just permanently closed. 

No I will not eat at a restaurant for a very long time.  

I am still working, I would love to see my best friend, but I consider it too great a risk to take with her impaired immune system.  

We are all missing our normal lives, but a little sacrifice can save so many lives.  Wear a mask, keep your distance.",pro-mitigation,,pro-mitigation,pro-mitigation,pro-mitigation
"My 20 year old daughter went back to work at a Restaurant in June as a cashier during the week. On the weekends they had her sitting outside doing curbside. She had numerous old men refuse to wear masks, they would try to demand she take hers off before they paid, she refused. On July 12 th she lost her sense of taste and smell. On the 15 the she was tested for Covid-19. The following Sat she had a 102.7 fever , the next Sunday she was called and told she is positive. She has been ER sick but not admitted. She cannot seem to get any better.  

Did one of those old red hat wearing men that refused to wear a mask that spread it to her, end up on a vent?",unclear,,anti-mitigation,unclear,pro-mitigation
"The other day, I was at urgent care for one thing, but the doctor unexpectedly recommended a small procedure on my ear.  He called in a medical assistant.  She ended up taking twenty minutes, a foot from my face, talking half of the time.  It occurred to me late in the game to ask her whether or not she'd had an opportunity to get vaccinated.  Yes, she'd been offered it, but no, she didn't like the idea of Covid vaccines. My first thought was ""Yikes"" (but in language I can't use here), and my second thought was that people shouldn't work in the medical field if they don't have a modicum of belief in medical science.

It's a special kind of betrayal when you go in to take care of your health, and are exposed to medical personnel who may UNnecessarily endanger it!  Covid Vaccination MUST to be required of everyone working in a medical setting.  If not now, then post-FDA approval at the latest.",pro-mitigation,,pro-mitigation,pro-mitigation,pro-mitigation
"As part of Covid relief and economic stimulus, I wish government could tap restauranteurs to make and deliver food to all who need it but cannot pay (as part of the public safety net.) Restaurants are able to purchase, prepare, and store food at scale; I bet Tom Colicchio (as an example) could employ and train a lot of prep cooks, sous chefs, and kitchen help to turn out delicious and healthy food for the entire tri-State area! Special dietary restrictions? Restaurants have already solved that complexity. There’s no need for restaurants to go under while people are hungry and food goes to waste. One solution could end a triple shame.",anti-mitigation,,pro-mitigation,unclear,unclear
"Again, if insurance companies say they will not cover employees or those costs incurred as a result of hospitalization from covid because they who refused to get the vaccine things will change. Covid is not a pre existing condition initially so it would seem this is within the insurance companies rights. I would support them in such an endeavor. Vaccines work. That is the bottom line.",pro-mitigation,,pro-mitigation,pro-mitigation,pro-mitigation
"I went out for lunch yesterday with a friend. It is the second time I've been out just for fun since March. Both times, my friend and I ate at a restaurant that served us seated outside.  That will not be an option when the weather gets cold. 

I am extremely frustrated by the Trump inspired crowd who believe it is their god given right to not wear a mask. They and their lunacy are destroying this nations credibility. We are considered a major health risk by the rest of the world. 

Currently U.S. citizens with an American passport are allowed to enter only EIGHT countries without any restrictions. There are 23 other countries that’ll let some of us in – but with restrictions and quarantines.",unclear,,pro-mitigation,pro-mitigation,pro-mitigation
"Even a year and a half later, I don't understand at all why people object to such a small thing as wearing a mask. I'm finally about to get my second dose of the Pfizer vaccine next week, after waiting patiently through our rollout and prioritization of vulnerable groups, slowed by limited vaccine supply in the early months. I have been separated for eighteen months from my partner, who is caregiving for a parent in Europe, so believe me the wait has been grueling. I am grateful and thrilled to be getting my second dose - thank you to science and public health, and now loosened export restrictions, providing us with sufficient supply north of the border - but will continue to wear a mask in enclosed spaces for the foreseeable future. It's such a small thing that I can do for others, full stop. I really just don't understand why this is even a debate.",pro-mitigation,,anti-mitigation,pro-mitigation,pro-mitigation
"Let me get this straight. Vaccinated people are supposed to go back to wearing masks, even though they are not getting significant symptoms even when infected, to guard against a theoretical risk that they could pass it to people who chose not to vaccinate? Good luck with that.",pro-mitigation,,pro-mitigation,unclear,anti-mitigation
"I have not suffered from a cold or the flu for over a year now.  Hence, I will always wear a mask when I am around lots of people in an enclosed space---stores, crowded sidewalks and such.",pro-mitigation,,pro-mitigation,pro-mitigation,pro-mitigation
I cannot understand why people are still standing in lines today.  There should be an app that lets you log in and will alert you when your turn is up. That way you can easily social distance while waiting.  A pretty simple solution that helps.,pro-mitigation,,anti-mitigation,pro-mitigation,unclear
